txt_fn,pedestrian,bicycle,car,motorcycle,bus,train,truck
000000499719.txt,0,0,1,0,0,0,0
000000389134.txt,1,0,0,0,3,0,0
000000260699.txt,0,0,0,0,0,0,1
000000220058.txt,0,0,0,0,0,1,0
000000553079.txt,1,0,0,0,1,1,0
000000332316.txt,1,0,1,0,1,0,0
000000192812.txt,1,0,0,0,0,0,1
000000442154.txt,0,0,0,0,1,0,0
000000531937.txt,0,1,0,0,0,0,0
000000132760.txt,0,0,1,0,1,0,0
000000222755.txt,0,0,1,0,0,0,3
000000432120.txt,0,0,1,0,0,0,0
000000052624.txt,1,0,0,1,0,0,0
000000050411.txt,1,0,1,0,0,0,2
000000419477.txt,0,0,0,1,0,0,0
000000481147.txt,1,1,0,0,0,0,0
000000425175.txt,0,0,1,0,0,0,0
000000447075.txt,0,0,0,0,1,0,0
000000327105.txt,0,0,1,0,0,0,1
000000318107.txt,1,0,0,0,1,0,0
000000050404.txt,0,0,0,1,0,0,0
000000226814.txt,0,0,0,0,1,0,0
000000551941.txt,1,0,1,0,0,0,1
000000497875.txt,1,0,0,0,0,0,1
000000495064.txt,1,0,0,0,1,0,0
000000246435.txt,1,0,1,1,0,0,0
000000305573.txt,0,3,1,5,0,0,0
000000103035.txt,1,0,0,4,0,0,0
000000157153.txt,0,0,1,0,3,1,2
000000373373.txt,1,1,0,0,0,1,0
000000504425.txt,0,0,1,0,0,0,1
000000310553.txt,1,0,1,1,0,0,0
000000506471.txt,1,0,0,2,0,0,0
000000171841.txt,1,0,1,0,1,0,1
000000067446.txt,1,0,0,0,3,0,0
000000362263.txt,0,0,0,0,0,1,0
000000246156.txt,0,1,0,0,0,0,0
000000232807.txt,1,0,0,0,2,0,0
000000497127.txt,0,0,0,0,1,0,0
000000489695.txt,1,0,1,2,0,0,2
000000430155.txt,0,0,1,0,0,0,1
000000532669.txt,0,0,0,1,0,0,0
000000431363.txt,1,0,1,0,0,0,1
000000475754.txt,1,0,0,0,0,0,1
000000311899.txt,0,0,0,1,0,0,0
000000109012.txt,0,0,1,0,0,0,0
000000080792.txt,0,0,1,0,0,0,2
000000031788.txt,1,0,0,2,0,0,0
000000488488.txt,0,0,0,0,0,1,0
000000563658.txt,0,0,1,0,0,0,2
000000274585.txt,0,0,1,0,0,0,0
000000160941.txt,0,0,0,0,0,1,0
000000082697.txt,1,6,1,0,0,0,0
000000516020.txt,0,0,0,0,0,3,0
000000371260.txt,0,0,1,0,0,0,1
000000237262.txt,0,0,0,0,0,0,1
000000557422.txt,0,2,0,0,0,0,0
000000010318.txt,1,0,1,0,2,0,0
000000417273.txt,1,0,1,0,2,0,0
000000147930.txt,1,0,1,1,0,0,0
000000172366.txt,0,0,1,0,0,0,0
000000260050.txt,1,0,0,0,3,0,2
000000324981.txt,1,0,0,0,0,0,3
000000455333.txt,0,0,1,0,2,0,1
000000389244.txt,1,1,0,3,0,0,0
000000560563.txt,1,2,1,1,0,0,1
000000518548.txt,0,0,1,0,0,0,0
000000215584.txt,1,0,1,0,3,0,1
000000337083.txt,0,1,0,0,0,0,0
000000350826.txt,1,0,0,0,0,2,0
000000405897.txt,1,0,0,0,2,0,0
000000555724.txt,0,0,0,0,0,1,0
000000089790.txt,1,0,1,0,0,0,3
000000428000.txt,1,0,0,0,0,0,1
000000173132.txt,0,0,1,0,0,0,0
000000019193.txt,1,0,1,0,1,0,0
000000046816.txt,0,1,0,0,0,0,0
000000176702.txt,1,0,0,0,0,3,0
000000178181.txt,1,0,1,0,0,0,1
000000522232.txt,1,0,0,1,0,0,0
000000323119.txt,0,1,0,0,0,0,0
000000194871.txt,1,3,0,0,0,0,0
000000504948.txt,0,0,0,1,0,0,0
000000294933.txt,1,3,1,2,0,0,0
000000421877.txt,0,0,0,1,0,0,0
000000185903.txt,0,0,1,0,0,2,0
000000095178.txt,1,0,0,0,0,0,1
000000495580.txt,1,1,0,0,0,0,0
000000370945.txt,1,0,1,0,1,0,0
000000035814.txt,0,0,1,0,0,0,1
000000507801.txt,0,0,0,0,0,1,0
000000538420.txt,1,0,1,0,0,0,3
000000329989.txt,0,0,1,0,0,0,1
000000330455.txt,0,2,1,0,1,0,0
000000129108.txt,1,2,1,0,0,1,0
000000220041.txt,0,0,0,0,1,0,0
000000238223.txt,1,0,1,0,1,1,0
000000046473.txt,1,0,0,1,0,0,0
000000312384.txt,1,0,1,0,1,0,0
000000389378.txt,0,0,1,0,0,0,0
000000443272.txt,0,0,1,0,1,0,1
000000124532.txt,1,0,0,0,0,0,2
000000304069.txt,0,0,1,0,0,0,1
000000134231.txt,0,0,0,0,0,0,1
000000456656.txt,0,0,1,0,0,2,0
000000033815.txt,0,0,0,1,0,0,0
000000222961.txt,1,0,0,6,0,0,0
000000006270.txt,0,0,1,0,1,0,0
000000535592.txt,0,0,1,0,0,0,2
000000556969.txt,0,0,1,0,0,0,0
000000367754.txt,0,0,1,0,0,0,0
000000197656.txt,0,0,0,0,0,1,0
000000087489.txt,1,0,1,0,1,0,0
000000155449.txt,1,0,0,0,0,1,0
000000299593.txt,1,0,1,0,1,0,0
000000517623.txt,1,0,0,0,3,0,0
000000262688.txt,1,0,0,0,0,0,1
000000029524.txt,1,0,0,0,0,0,1
000000429769.txt,1,0,0,0,0,0,1
000000526877.txt,1,0,1,12,0,0,0
000000008181.txt,0,0,1,1,0,0,0
000000229132.txt,0,0,1,0,0,0,0
000000174560.txt,0,0,0,0,0,0,1
000000311941.txt,1,0,0,0,0,1,0
000000400472.txt,0,0,0,0,0,1,0
000000204505.txt,1,0,1,0,0,0,1
000000000730.txt,1,0,1,0,1,0,0
000000051643.txt,1,2,0,0,0,0,0
000000327388.txt,0,0,0,0,0,1,0
000000140435.txt,0,0,0,0,0,0,1
000000333922.txt,1,0,0,1,0,0,2
000000543805.txt,0,0,0,0,0,1,0
000000080140.txt,1,0,0,0,0,1,0
000000382607.txt,0,0,0,0,0,0,1
000000412584.txt,1,0,1,0,0,0,2
000000158418.txt,0,0,0,6,0,0,0
000000507580.txt,1,1,1,0,0,0,0
000000012408.txt,1,2,0,0,0,0,0
000000203765.txt,1,2,1,0,1,0,0
000000573700.txt,0,0,0,0,3,0,0
000000051965.txt,1,0,1,0,2,0,0
000000023686.txt,0,0,0,0,0,3,0
000000323048.txt,0,0,0,0,0,1,0
000000409451.txt,1,0,0,1,0,0,0
000000208629.txt,1,0,1,4,0,0,0
000000534426.txt,0,0,1,0,0,0,0
000000184330.txt,0,0,0,0,0,0,1
000000542541.txt,1,0,0,0,0,0,13
000000268259.txt,0,0,0,1,0,0,0
000000505831.txt,1,0,0,1,1,0,3
000000004988.txt,1,0,1,0,1,0,0
000000004462.txt,0,0,1,0,0,0,1
000000505686.txt,1,0,1,0,0,0,1
000000517807.txt,1,0,0,0,0,0,1
000000465911.txt,1,1,0,0,0,0,0
000000328836.txt,1,1,1,0,0,0,0
000000284548.txt,0,0,0,0,0,1,0
000000515505.txt,1,2,0,0,0,0,0
000000520703.txt,1,0,0,1,0,0,0
000000026393.txt,1,0,0,0,0,1,0
000000511777.txt,1,8,0,0,0,0,0
000000247818.txt,1,0,0,0,1,0,0
000000396851.txt,1,0,0,0,0,0,2
000000000923.txt,1,0,1,0,0,1,0
000000407559.txt,0,0,1,0,0,0,0
000000051990.txt,1,0,1,2,0,1,1
000000491793.txt,1,0,1,9,5,0,0
000000115967.txt,0,0,1,0,0,0,2
000000232500.txt,0,0,1,0,0,0,0
000000576158.txt,1,0,1,0,3,0,2
000000043583.txt,0,0,0,0,0,1,0
000000476515.txt,1,0,1,0,1,0,0
000000060362.txt,0,0,1,0,0,0,0
000000087322.txt,0,0,0,0,0,2,0
000000064015.txt,1,0,1,0,0,0,1
000000021374.txt,0,0,0,0,1,0,0
000000138073.txt,0,0,0,0,0,1,0
000000114469.txt,0,0,0,0,0,0,1
000000207941.txt,0,0,1,0,0,0,0
000000162908.txt,1,0,0,0,3,0,0
000000211449.txt,0,0,0,1,0,0,0
000000184673.txt,1,0,0,0,0,1,0
000000467778.txt,0,0,1,1,1,0,0
000000562160.txt,0,1,0,0,0,0,0
000000091547.txt,0,0,1,0,0,0,1
000000322285.txt,0,0,1,0,1,0,0
000000482472.txt,1,0,1,0,0,0,3
000000164871.txt,1,0,0,0,0,1,0
000000067490.txt,0,0,1,0,0,0,0
000000445080.txt,1,0,0,2,0,0,0
000000229318.txt,1,0,0,1,0,0,0
000000013000.txt,0,0,1,0,0,0,1
000000440243.txt,0,0,0,0,0,1,0
000000190117.txt,0,0,0,0,0,0,1
000000381433.txt,1,0,1,0,1,0,0
000000327575.txt,0,0,1,0,1,0,0
000000099417.txt,0,1,0,0,0,0,0
000000254706.txt,0,0,1,0,0,0,0
000000396460.txt,1,0,1,0,1,0,0
000000449004.txt,1,0,1,0,0,0,3
000000352658.txt,0,0,0,0,0,1,0
000000109146.txt,0,1,0,0,0,0,0
000000578962.txt,1,1,1,13,1,0,1
000000318780.txt,1,0,0,3,0,0,0
000000131911.txt,1,0,1,3,0,0,1
000000440298.txt,1,0,1,0,0,0,1
000000265799.txt,1,0,1,1,0,0,0
000000145025.txt,0,1,0,0,0,0,0
000000511716.txt,0,0,0,0,2,0,0
000000345667.txt,1,0,1,0,0,0,1
000000167746.txt,0,0,0,0,0,1,0
000000309771.txt,1,2,0,0,0,0,0
000000246848.txt,1,0,1,0,0,0,2
000000275380.txt,0,0,1,0,0,0,1
000000474964.txt,0,0,0,0,1,0,0
000000553573.txt,1,4,1,0,1,0,0
000000509087.txt,1,0,0,1,0,0,0
000000405582.txt,0,2,0,0,0,0,0
000000478198.txt,1,5,0,0,0,0,0
000000200401.txt,0,1,1,0,0,0,0
000000376677.txt,0,0,1,0,0,0,1
000000359442.txt,0,0,0,0,0,3,0
000000272648.txt,1,0,0,0,1,0,0
000000141207.txt,1,0,0,0,3,0,0
000000412615.txt,0,0,1,0,0,0,1
000000195561.txt,0,0,1,0,1,0,0
000000291873.txt,1,1,0,0,0,0,0
000000558303.txt,0,0,0,0,0,1,0
000000323479.txt,1,0,1,2,0,0,1
000000507502.txt,1,0,1,0,1,0,0
000000096711.txt,0,5,0,0,0,0,0
000000052609.txt,1,0,0,0,0,0,1
000000459884.txt,1,0,0,0,0,0,1
000000323661.txt,1,1,0,0,0,0,0
000000067757.txt,0,0,1,0,0,0,0
000000251785.txt,0,0,1,0,0,0,1
000000430395.txt,0,0,1,0,0,0,0
000000504531.txt,1,0,0,0,0,1,0
000000544921.txt,0,0,1,0,0,0,5
000000525539.txt,1,0,1,1,0,0,0
000000306811.txt,1,0,1,0,0,0,1
000000030484.txt,0,0,0,0,1,0,0
000000054485.txt,1,0,1,0,1,0,0
000000378968.txt,0,0,0,0,0,0,2
000000132290.txt,0,0,0,2,0,0,0
000000406557.txt,0,0,0,0,0,1,0
000000382466.txt,0,0,1,0,0,0,0
000000403374.txt,0,0,1,0,0,0,0
000000483108.txt,1,1,0,0,0,1,0
000000402960.txt,1,0,1,2,0,0,0
000000039628.txt,0,0,0,0,0,2,0
000000173080.txt,0,0,1,1,0,0,0
000000509682.txt,1,0,0,0,0,1,0
000000226315.txt,0,0,0,0,0,1,0
000000019871.txt,1,0,1,0,1,0,1
