,txt_fn,pedestrian,bicycle,car,motorcycle,bus,train,truck
99,000000348670.txt,1,0,0,0,0,0,0
100,000000336563.txt,1,0,3,1,0,0,0
101,000000323264.txt,3,0,0,0,0,0,0
102,000000266968.txt,1,0,0,0,0,0,0
103,000000009012.txt,2,0,0,0,0,0,0
104,000000297969.txt,1,0,0,0,0,0,0
105,000000238227.txt,3,0,1,0,0,0,0
106,000000204471.txt,1,0,0,0,0,0,0
107,000000143936.txt,2,0,0,0,0,0,0
108,000000153530.txt,0,0,0,0,0,1,0
109,000000214975.txt,0,0,0,0,0,0,1
110,000000513093.txt,1,0,0,0,0,0,0
111,000000209864.txt,1,0,0,0,0,0,0
112,000000195917.txt,3,0,0,0,0,0,0
113,000000462849.txt,13,0,0,0,0,0,0
114,000000323960.txt,2,0,0,0,0,0,0
115,000000130096.txt,1,0,0,0,0,0,0
116,000000079357.txt,13,0,4,1,0,0,1
117,000000209478.txt,1,0,0,0,0,0,0
118,000000271385.txt,13,0,0,0,0,0,0
119,000000463792.txt,1,0,0,0,0,0,0
120,000000080953.txt,2,0,0,0,0,0,0
121,000000354333.txt,1,0,0,0,0,0,0
122,000000091852.txt,1,0,1,0,0,0,0
123,000000522637.txt,1,0,0,0,0,0,0
124,000000425652.txt,13,0,0,0,1,0,3
125,000000144703.txt,6,0,0,0,0,0,0
126,000000106666.txt,1,0,0,0,0,0,0
127,000000327702.txt,1,0,0,0,0,0,0
128,000000152530.txt,1,0,0,0,0,0,0
129,000000131572.txt,1,0,0,0,0,0,0
130,000000192799.txt,0,0,0,0,0,0,1
131,000000023511.txt,0,1,0,0,0,0,0
132,000000361106.txt,3,0,0,0,0,0,0
133,000000432429.txt,2,0,0,0,0,0,0
134,000000070815.txt,2,2,0,0,0,0,1
135,000000401553.txt,7,0,3,0,0,0,0
136,000000504559.txt,3,0,0,0,0,0,0
137,000000340946.txt,1,0,0,0,0,0,0
138,000000324476.txt,6,0,0,0,0,0,0
139,000000391829.txt,8,0,0,0,0,0,0
140,000000578890.txt,13,0,0,0,0,0,0
141,000000539265.txt,1,0,0,0,0,0,0
142,000000089930.txt,1,0,0,0,0,0,0
143,000000264708.txt,1,0,0,0,0,0,0
144,000000231153.txt,1,0,0,0,0,0,0
145,000000143528.txt,9,0,0,0,0,0,0
146,000000374910.txt,4,0,0,0,0,0,0
147,000000082359.txt,3,0,0,0,0,0,0
148,000000169023.txt,1,0,0,0,0,0,0
149,000000505728.txt,1,0,0,0,0,0,0
150,000000017057.txt,13,0,3,0,0,0,2
151,000000349559.txt,1,0,1,0,0,0,0
152,000000117445.txt,0,0,1,0,0,0,0
153,000000088682.txt,13,0,0,0,0,0,0
154,000000120792.txt,3,0,0,0,0,0,0
155,000000219399.txt,3,0,0,0,0,0,0
156,000000114745.txt,2,0,4,0,0,0,0
157,000000316123.txt,3,0,0,0,0,0,0
158,000000415585.txt,0,0,0,0,0,1,0
159,000000409897.txt,13,0,0,0,0,0,0
160,000000379940.txt,1,0,0,0,0,0,0
161,000000469825.txt,2,0,0,0,0,0,0
162,000000027493.txt,1,0,0,0,0,0,0
163,000000408187.txt,3,0,0,0,0,0,0
164,000000166163.txt,3,0,0,0,0,0,0
165,000000487238.txt,3,0,0,0,0,0,0
166,000000004355.txt,2,0,1,2,0,0,0
167,000000259755.txt,5,0,0,0,0,0,0
168,000000170340.txt,1,0,0,0,0,0,0
169,000000433297.txt,1,0,0,0,1,0,0
170,000000193634.txt,1,0,0,0,0,0,0
171,000000486404.txt,1,0,0,0,0,0,0
172,000000414002.txt,4,0,0,0,0,0,0
173,000000186227.txt,8,0,6,0,2,0,1
174,000000544611.txt,13,0,7,0,0,0,0
175,000000075646.txt,11,0,0,0,0,0,0
176,000000445368.txt,1,0,0,0,0,0,0
177,000000243796.txt,3,0,0,0,0,0,0
178,000000053304.txt,3,0,0,0,0,0,0
179,000000022757.txt,1,0,0,0,0,0,0
180,000000408078.txt,2,0,0,0,0,0,0
181,000000454422.txt,6,0,0,0,0,1,0
182,000000495481.txt,2,0,0,0,0,0,0
183,000000139897.txt,1,0,1,0,0,0,0
184,000000075696.txt,2,0,0,0,0,0,0
185,000000026274.txt,13,0,2,0,1,0,0
186,000000152385.txt,0,0,1,1,0,0,1
187,000000130081.txt,9,0,2,0,0,0,1
188,000000426383.txt,11,0,0,0,2,0,0
189,000000153591.txt,1,0,0,0,0,0,0
190,000000241491.txt,2,0,0,0,0,0,0
191,000000113261.txt,13,0,0,0,0,0,5
192,000000474979.txt,13,0,0,0,0,0,0
193,000000148570.txt,3,0,0,0,0,0,0
194,000000260955.txt,0,0,1,0,0,0,0
195,000000220046.txt,1,0,0,0,0,0,0
196,000000382714.txt,3,0,0,0,0,0,0
197,000000428726.txt,1,0,0,0,0,0,0
198,000000321860.txt,1,0,0,0,0,0,0
199,000000280805.txt,1,0,0,0,0,0,0
200,000000210252.txt,2,0,2,0,0,0,0
201,000000248774.txt,0,0,0,0,0,0,1
202,000000262418.txt,1,0,0,0,0,0,0
203,000000033156.txt,6,0,0,0,0,0,0
204,000000307794.txt,5,0,0,0,0,0,0
205,000000287718.txt,2,0,0,0,0,0,0
206,000000480990.txt,1,0,0,0,0,0,0
207,000000205547.txt,13,0,0,0,0,0,0
208,000000557483.txt,4,0,0,0,0,0,0
209,000000056109.txt,12,2,3,0,1,0,0
210,000000239052.txt,2,0,0,0,0,0,0
211,000000471945.txt,2,0,0,0,0,0,0
212,000000001942.txt,1,0,0,0,0,0,0
213,000000106517.txt,8,0,0,0,0,0,0
214,000000314174.txt,3,0,0,0,0,0,0
215,000000341620.txt,5,0,0,0,0,0,0
216,000000019681.txt,3,0,3,0,1,0,1
217,000000050995.txt,0,0,13,0,0,0,3
218,000000566893.txt,0,0,0,0,0,1,0
219,000000503404.txt,0,0,0,0,0,0,2
220,000000542160.txt,3,0,0,0,0,0,0
221,000000021979.txt,2,0,0,0,0,0,0
222,000000389595.txt,1,0,0,0,0,0,0
223,000000556537.txt,5,0,0,0,0,0,0
224,000000418435.txt,0,0,2,0,0,0,0
225,000000335189.txt,3,0,0,0,0,0,0
226,000000147970.txt,12,0,7,0,0,0,0
227,000000154073.txt,2,0,0,0,0,0,0
228,000000067936.txt,4,0,0,0,0,0,0
229,000000278549.txt,2,0,0,0,0,0,0
230,000000042173.txt,12,0,0,0,0,0,0
231,000000418429.txt,13,0,3,0,0,0,0
232,000000339844.txt,0,0,1,0,0,0,0
233,000000313526.txt,1,0,0,0,0,0,0
234,000000193332.txt,2,0,0,0,0,0,0
235,000000308101.txt,2,0,0,0,0,0,0
236,000000078825.txt,2,0,0,0,0,0,2
237,000000553407.txt,2,0,0,0,2,0,1
238,000000535753.txt,0,0,1,0,0,0,2
239,000000063247.txt,1,0,0,0,0,0,0
240,000000496874.txt,7,0,0,0,0,0,1
241,000000041351.txt,2,0,0,0,0,0,0
242,000000046816.txt,0,1,0,0,0,0,0
243,000000374487.txt,1,0,0,1,0,0,0
244,000000415396.txt,3,0,0,0,0,0,0
245,000000077236.txt,2,0,0,0,0,0,0
246,000000182126.txt,1,0,0,0,0,0,0
247,000000472233.txt,13,0,0,8,0,0,0
248,000000124117.txt,1,0,0,0,0,0,0
249,000000396380.txt,2,0,0,0,0,0,0
250,000000377510.txt,1,0,0,0,0,0,0
251,000000280307.txt,1,0,0,0,0,0,0
252,000000293792.txt,13,0,2,0,0,0,0
253,000000256141.txt,0,0,1,1,0,0,2
254,000000495680.txt,2,0,0,0,0,0,0
255,000000094199.txt,1,0,0,0,0,0,0
256,000000025433.txt,4,0,6,0,2,0,0
257,000000094925.txt,13,0,0,0,0,0,0
258,000000531585.txt,6,0,1,0,0,0,1
259,000000503104.txt,2,0,9,0,0,0,1
260,000000363593.txt,2,0,0,0,0,0,0
261,000000241340.txt,1,0,0,0,0,0,0
262,000000236486.txt,5,0,2,0,0,0,1
263,000000030340.txt,2,0,1,0,0,0,0
264,000000422545.txt,1,0,0,0,0,0,0
265,000000214379.txt,1,0,0,0,0,0,0
266,000000341100.txt,1,0,0,0,0,0,0
267,000000434837.txt,13,0,0,0,0,0,0
268,000000244720.txt,0,0,0,0,0,0,1
269,000000186099.txt,13,0,0,0,0,0,0
270,000000379246.txt,0,0,0,0,0,0,3
271,000000110718.txt,4,0,1,0,0,0,1
272,000000280909.txt,1,0,0,0,0,0,0
273,000000538463.txt,13,0,0,0,0,2,0
274,000000420532.txt,10,0,0,0,0,0,0
275,000000375875.txt,1,0,0,0,0,0,0
276,000000393403.txt,0,0,0,0,1,0,0
277,000000506417.txt,7,0,0,0,0,0,0
278,000000210777.txt,5,0,1,0,0,0,0
279,000000337354.txt,2,0,0,0,0,0,0
280,000000080725.txt,3,1,0,0,0,0,0
281,000000420357.txt,3,0,0,0,0,0,0
282,000000486186.txt,13,0,0,0,0,1,0
283,000000476841.txt,2,6,5,0,0,0,0
284,000000357502.txt,13,0,0,0,0,0,0
285,000000549933.txt,0,0,0,0,1,0,0
286,000000177505.txt,1,0,0,0,0,0,0
287,000000545022.txt,5,0,13,0,0,0,3
288,000000223870.txt,2,0,4,0,0,0,0
289,000000279986.txt,1,0,0,0,0,0,0
290,000000523230.txt,2,0,0,0,0,0,0
291,000000166551.txt,1,0,0,0,0,0,0
292,000000377464.txt,3,0,0,0,0,0,0
293,000000408624.txt,1,0,0,0,0,0,1
294,000000160855.txt,13,0,0,0,0,0,0
295,000000552486.txt,13,0,0,0,0,0,0
296,000000393656.txt,1,0,0,0,0,0,0
297,000000212227.txt,1,0,0,0,0,0,0
298,000000313134.txt,1,0,0,0,0,0,0
299,000000310695.txt,5,3,0,0,2,0,0
300,000000289883.txt,5,0,0,0,3,0,0
301,000000474230.txt,1,0,0,0,0,0,0
302,000000503310.txt,2,0,0,0,0,0,0
303,000000221394.txt,0,0,0,0,1,0,0
304,000000139555.txt,2,0,0,0,0,0,0
305,000000407159.txt,10,0,0,0,0,0,0
306,000000436246.txt,1,0,0,0,0,0,0
307,000000447479.txt,11,0,4,0,0,0,0
308,000000118450.txt,1,10,0,0,0,0,0
309,000000547318.txt,7,0,0,0,0,0,0
310,000000234572.txt,3,0,1,0,0,0,1
311,000000002001.txt,1,0,0,0,0,0,0
312,000000241457.txt,13,0,13,0,0,0,0
313,000000506470.txt,2,0,0,0,0,0,0
314,000000062344.txt,1,0,0,0,0,0,0
315,000000030205.txt,2,0,0,0,0,0,0
316,000000222681.txt,4,0,0,0,0,0,0
317,000000401132.txt,2,0,0,0,0,0,0
318,000000247587.txt,4,0,3,0,0,0,0
319,000000320106.txt,1,0,0,0,0,0,0
320,000000183910.txt,2,0,0,0,0,0,0
321,000000307993.txt,1,0,1,0,0,0,0
322,000000535689.txt,2,0,0,0,0,0,0
323,000000363577.txt,1,0,0,0,0,0,0
324,000000018432.txt,1,0,0,0,0,0,0
325,000000103556.txt,3,0,0,0,0,0,0
326,000000431972.txt,1,0,0,0,0,0,0
327,000000560087.txt,1,0,0,0,0,0,0
328,000000359099.txt,1,0,0,0,0,0,0
329,000000083013.txt,3,0,0,0,0,0,0
330,000000373128.txt,9,0,0,2,0,0,0
331,000000505796.txt,7,0,0,0,0,0,0
332,000000208517.txt,9,0,0,0,0,0,0
333,000000125870.txt,1,0,6,0,7,0,2
334,000000528230.txt,13,0,0,0,0,0,0
335,000000208752.txt,3,0,0,0,0,0,0
336,000000428530.txt,0,0,0,0,0,2,0
337,000000184914.txt,2,0,0,0,0,0,0
338,000000566612.txt,3,0,0,0,0,0,0
339,000000535777.txt,1,0,0,0,0,0,0
340,000000400305.txt,1,0,5,0,0,0,0
341,000000130553.txt,1,0,0,1,0,0,0
342,000000087151.txt,4,0,0,0,0,0,0
343,000000524816.txt,0,0,0,0,0,1,0
344,000000463716.txt,4,0,0,0,0,0,0
345,000000336479.txt,1,0,0,0,0,0,0
346,000000517232.txt,1,0,0,0,0,0,0
347,000000150144.txt,1,0,0,0,0,0,0
348,000000273416.txt,1,1,1,0,0,0,0
349,000000276476.txt,3,0,0,0,0,0,0
350,000000056392.txt,1,0,0,0,0,0,0
351,000000319451.txt,2,0,0,0,0,0,0
352,000000482747.txt,4,0,0,0,0,0,0
353,000000334474.txt,2,0,0,0,0,0,0
354,000000259498.txt,0,0,1,0,0,0,0
355,000000370466.txt,1,0,0,0,0,0,0
356,000000481168.txt,1,0,0,0,0,0,0
357,000000470832.txt,4,0,0,0,0,0,0
358,000000130007.txt,2,0,0,0,0,0,0
359,000000574497.txt,1,0,0,0,0,0,0
360,000000366179.txt,3,0,7,0,5,0,0
361,000000267734.txt,13,0,3,2,0,0,0
362,000000104443.txt,4,0,4,0,0,0,1
363,000000564931.txt,1,0,0,0,0,0,0
364,000000360929.txt,8,0,0,0,0,0,0
365,000000412658.txt,2,0,0,0,0,0,0
366,000000454636.txt,7,0,0,0,0,0,0
367,000000553284.txt,12,1,0,1,0,0,0
368,000000339446.txt,0,1,0,0,0,0,1
369,000000254625.txt,1,0,0,0,0,0,0
370,000000205116.txt,4,0,0,0,0,0,0
371,000000111129.txt,1,0,0,0,0,0,0
372,000000472266.txt,7,0,0,0,0,0,1
373,000000456314.txt,0,0,0,0,0,1,0
374,000000227040.txt,5,0,0,0,0,0,0
375,000000388297.txt,5,0,0,0,0,0,0
376,000000039113.txt,7,0,0,0,0,0,0
377,000000528446.txt,10,0,0,0,0,0,0
378,000000357944.txt,0,0,1,0,0,0,1
379,000000039267.txt,1,0,0,0,0,0,0
380,000000356406.txt,6,0,0,0,0,0,0
381,000000451101.txt,4,0,0,0,0,0,0
382,000000536938.txt,2,0,0,0,0,0,0
383,000000381032.txt,2,0,0,0,0,0,0
384,000000088635.txt,12,0,0,0,0,0,0
385,000000265115.txt,2,0,0,0,1,0,0
386,000000360328.txt,1,0,0,0,0,0,0
387,000000145834.txt,3,0,0,0,0,0,0
388,000000362506.txt,1,0,0,0,0,0,0
389,000000486513.txt,12,1,7,0,0,0,0
390,000000134520.txt,2,0,0,0,0,0,0
391,000000421884.txt,4,0,0,0,0,0,0
392,000000097053.txt,10,0,0,0,0,0,0
393,000000100543.txt,9,0,0,0,0,0,0
394,000000410175.txt,11,0,0,0,0,0,0
395,000000344325.txt,1,0,0,1,0,0,0
396,000000162077.txt,2,0,0,0,0,0,0
397,000000117884.txt,1,0,0,0,0,0,0
398,000000408954.txt,4,0,0,0,0,0,0
399,000000036282.txt,1,0,0,0,0,0,0
400,000000244795.txt,13,0,2,0,0,0,0
401,000000573775.txt,5,0,8,0,0,0,1
402,000000191226.txt,1,0,0,0,0,0,0
403,000000151979.txt,2,0,0,0,0,0,0
404,000000173514.txt,1,0,0,0,0,0,0
405,000000388498.txt,1,0,0,0,0,0,0
406,000000005359.txt,0,0,4,0,0,0,0
407,000000186906.txt,5,0,8,1,2,0,0
408,000000132500.txt,9,0,0,0,0,0,0
409,000000223603.txt,4,0,0,0,0,0,0
410,000000155083.txt,0,0,0,0,0,1,0
411,000000082994.txt,13,0,0,0,0,0,0
412,000000398036.txt,2,0,0,0,0,0,0
413,000000264356.txt,4,0,0,0,0,0,0
414,000000134178.txt,13,0,0,0,0,0,0
415,000000061409.txt,7,0,2,0,0,0,2
416,000000272997.txt,3,0,1,0,1,0,0
417,000000299959.txt,9,0,0,0,0,0,0
418,000000129068.txt,1,0,0,0,0,0,0
419,000000516476.txt,8,0,3,0,3,0,1
420,000000509971.txt,4,0,0,0,0,0,0
421,000000387401.txt,7,0,5,0,1,0,0
422,000000457033.txt,4,0,0,0,0,0,0
423,000000422887.txt,0,0,0,0,1,0,0
424,000000474006.txt,1,0,0,0,0,0,0
425,000000496687.txt,2,0,0,0,0,0,0
426,000000078548.txt,0,0,0,1,0,0,0
427,000000334881.txt,2,0,0,0,0,0,0
428,000000124174.txt,1,0,0,0,0,0,0
429,000000479227.txt,9,0,0,0,0,0,0
430,000000196313.txt,9,0,0,0,0,0,0
431,000000212451.txt,1,0,1,0,0,0,0
432,000000409624.txt,1,0,0,0,0,0,0
433,000000553148.txt,13,0,0,0,0,0,0
434,000000377666.txt,2,0,0,0,0,0,0
435,000000262862.txt,1,0,0,0,0,0,0
436,000000510962.txt,3,0,0,0,0,0,0
437,000000009317.txt,11,0,12,0,0,0,0
438,000000494583.txt,0,0,4,0,0,0,0
439,000000310759.txt,2,0,0,0,0,0,0
440,000000032001.txt,3,0,0,0,0,0,0
441,000000160614.txt,2,0,0,0,0,0,0
442,000000009698.txt,1,0,0,0,0,0,0
443,000000519916.txt,4,0,0,0,0,0,0
444,000000488688.txt,1,0,0,0,0,0,0
445,000000189798.txt,10,0,0,0,0,1,0
446,000000108451.txt,13,0,0,0,0,0,0
447,000000138562.txt,1,0,1,0,0,0,1
448,000000309418.txt,1,0,0,0,0,0,0
449,000000412001.txt,2,0,0,0,0,0,0
450,000000410126.txt,1,0,3,0,0,0,0
451,000000363106.txt,2,0,0,0,0,0,0
452,000000018136.txt,3,0,0,0,0,0,0
453,000000387215.txt,1,0,0,0,0,0,0
454,000000514155.txt,0,1,0,0,0,0,0
455,000000318056.txt,0,0,0,0,2,0,0
456,000000497032.txt,1,0,0,0,0,0,0
457,000000150641.txt,0,0,0,0,0,1,0
458,000000457672.txt,1,0,3,0,2,0,0
459,000000476754.txt,0,0,4,0,0,0,0
460,000000159640.txt,3,0,0,0,0,2,0
461,000000414115.txt,3,0,0,0,0,0,0
462,000000049384.txt,1,0,0,0,0,0,0
463,000000305980.txt,13,0,0,0,0,0,0
464,000000118682.txt,3,0,0,0,0,0,0
465,000000207152.txt,6,0,0,0,0,0,0
466,000000218850.txt,0,0,1,0,0,1,0
467,000000326354.txt,10,0,1,0,0,0,0
468,000000299946.txt,1,0,0,0,0,0,0
469,000000339454.txt,13,0,0,0,0,0,0
470,000000575194.txt,4,0,0,0,0,0,0
471,000000515300.txt,5,0,4,0,0,0,0
472,000000382603.txt,1,0,0,0,0,0,0
473,000000286302.txt,1,0,3,0,0,0,0
474,000000297517.txt,8,0,2,0,0,1,0
475,000000166536.txt,1,0,0,0,0,0,0
476,000000167743.txt,1,1,0,0,0,0,0
477,000000008180.txt,0,0,0,0,0,0,5
478,000000388662.txt,2,0,0,0,0,0,0
479,000000323919.txt,0,0,1,0,0,0,0
480,000000166764.txt,3,0,0,0,0,0,0
481,000000083527.txt,2,0,0,0,0,0,0
482,000000170485.txt,1,0,0,0,0,0,0
483,000000290115.txt,1,0,0,0,0,0,0
484,000000341189.txt,1,0,0,0,0,0,0
485,000000397064.txt,13,0,0,0,0,0,0
486,000000409016.txt,5,0,0,0,0,0,0
487,000000556892.txt,1,0,0,0,0,0,0
488,000000407113.txt,1,0,0,0,0,0,0
489,000000052461.txt,0,0,1,0,0,0,0
490,000000000634.txt,5,0,0,0,0,0,0
491,000000487050.txt,2,0,0,0,0,0,0
492,000000470393.txt,2,0,0,0,0,0,0
493,000000368307.txt,3,0,0,0,0,0,0
494,000000165334.txt,13,9,1,0,0,0,0
495,000000121222.txt,2,0,0,0,0,0,0
496,000000303548.txt,1,0,0,0,0,0,0
497,000000008458.txt,2,0,0,0,0,0,0
498,000000574248.txt,13,0,0,0,0,0,1
499,000000126808.txt,1,0,0,0,0,0,0
500,000000258222.txt,13,0,0,0,0,0,0
501,000000550478.txt,3,0,0,0,0,0,0
502,000000520940.txt,1,0,0,0,0,0,0
503,000000074177.txt,3,0,0,0,0,0,0
504,000000126253.txt,5,1,0,0,0,0,0
505,000000290282.txt,1,0,0,0,0,0,0
506,000000069049.txt,1,0,0,0,0,0,0
507,000000436288.txt,6,0,0,0,0,0,0
508,000000019642.txt,1,0,0,0,0,0,0
509,000000392363.txt,5,1,3,13,0,0,0
510,000000415554.txt,1,0,0,0,0,0,0
511,000000032965.txt,1,0,0,0,0,0,0
512,000000069783.txt,3,0,0,0,0,0,0
513,000000072024.txt,12,0,0,0,0,0,0
514,000000265279.txt,13,0,0,0,0,0,0
515,000000135497.txt,1,0,2,0,0,0,0
516,000000448397.txt,1,0,0,0,0,0,0
517,000000149604.txt,1,0,0,0,0,0,0
518,000000275691.txt,0,0,0,0,0,2,0
519,000000196406.txt,12,0,0,1,1,0,1
520,000000453800.txt,1,0,0,0,0,0,0
521,000000562747.txt,1,0,0,0,0,0,0
522,000000113402.txt,11,0,0,0,1,0,0
523,000000028012.txt,1,0,0,0,0,0,0
524,000000065456.txt,1,0,0,0,0,0,0
525,000000130320.txt,2,0,0,0,0,0,0
526,000000175013.txt,3,0,0,2,0,0,0
527,000000544261.txt,13,0,0,0,0,0,0
528,000000098013.txt,1,0,0,0,0,0,0
529,000000230031.txt,1,0,0,0,0,0,0
530,000000009429.txt,1,0,0,0,0,0,0
531,000000364188.txt,1,0,0,0,0,0,0
532,000000142718.txt,9,1,1,2,0,0,1
533,000000246959.txt,3,0,0,0,0,0,0
534,000000033305.txt,1,0,0,0,0,0,0
535,000000456566.txt,1,0,0,0,0,0,0
536,000000223827.txt,9,0,0,0,0,0,0
537,000000516902.txt,2,0,0,0,0,0,0
538,000000411061.txt,9,0,0,0,0,0,0
539,000000057614.txt,5,0,0,0,0,0,0
540,000000439481.txt,7,0,0,0,0,0,0
541,000000493692.txt,2,0,0,0,0,0,0
542,000000006920.txt,3,0,0,0,0,0,0
543,000000107068.txt,3,0,0,0,0,0,0
544,000000047720.txt,3,0,0,0,0,0,0
545,000000279777.txt,0,0,2,0,0,0,0
546,000000106617.txt,2,0,0,0,0,0,0
547,000000050379.txt,11,0,2,1,0,0,0
548,000000289640.txt,9,0,0,0,0,0,0
549,000000242979.txt,1,0,0,0,0,0,2
550,000000288603.txt,5,0,4,0,0,0,1
551,000000538695.txt,1,0,0,0,0,0,0
552,000000287304.txt,0,0,0,0,0,1,0
553,000000027742.txt,5,0,0,0,0,0,0
554,000000565002.txt,1,0,1,0,0,0,0
555,000000232676.txt,3,0,0,0,0,0,0
556,000000070788.txt,1,0,0,0,0,0,0
557,000000556154.txt,1,0,7,0,0,0,2
558,000000524291.txt,1,0,0,0,0,0,0
559,000000175061.txt,0,0,0,0,0,2,0
560,000000136433.txt,2,0,0,0,0,0,0
561,000000242193.txt,8,0,2,0,0,0,0
562,000000099537.txt,0,0,0,0,0,1,0
563,000000494195.txt,3,0,0,0,0,0,0
564,000000448710.txt,0,0,0,0,0,1,0
565,000000479749.txt,8,0,0,0,0,0,0
566,000000355064.txt,2,0,0,2,0,0,0
567,000000574692.txt,13,0,0,0,0,0,0
568,000000481365.txt,0,0,0,0,0,1,0
569,000000348263.txt,2,0,0,0,0,0,0
570,000000348379.txt,6,0,0,0,0,0,0
571,000000329634.txt,11,0,0,0,0,0,0
572,000000253455.txt,13,0,0,0,0,0,0
573,000000181841.txt,1,0,0,0,0,0,0
574,000000117838.txt,11,0,2,0,2,0,0
575,000000165852.txt,1,0,2,2,0,0,1
576,000000459255.txt,1,0,0,0,0,0,0
577,000000297544.txt,9,0,4,1,0,0,1
578,000000278032.txt,0,0,0,0,0,1,0
579,000000028038.txt,2,0,0,0,0,0,0
